sample_id,path,clear_scene,cloud_source,masked_fraction,split
browse_demo_0025,data/processed/patches/browse_demo_0025.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.16015625,validation
browse_demo_0026,data/processed/patches/browse_demo_0026.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.185791015625,train
browse_demo_0027,data/processed/patches/browse_demo_0027.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.272216796875,validation
browse_demo_0028,data/processed/patches/browse_demo_0028.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.36376953125,train
browse_demo_0029,data/processed/patches/browse_demo_0029.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.162841796875,validation
browse_demo_0030,data/processed/patches/browse_demo_0030.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.146484375,train
browse_demo_0031,data/processed/patches/browse_demo_0031.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.174560546875,validation
browse_demo_0032,data/processed/patches/browse_demo_0032.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.236328125,train
browse_demo_0033,data/processed/patches/browse_demo_0033.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.201904296875,validation
browse_demo_0034,data/processed/patches/browse_demo_0034.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.25439453125,train
browse_demo_0035,data/processed/patches/browse_demo_0035.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.199951171875,validation
browse_demo_0036,data/processed/patches/browse_demo_0036.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.1806640625,train
browse_demo_0037,data/processed/patches/browse_demo_0037.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.4375,validation
browse_demo_0038,data/processed/patches/browse_demo_0038.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.191162109375,train
browse_demo_0039,data/processed/patches/browse_demo_0039.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.14404296875,validation
